"IdGeneracionCap","NombreFuente","NombrePais","NombreAnio","NombreUnidad","ValorProduccion"
118,"nuclear","colombia","2014","gwh",0.0
119,"nuclear","colombia","2013","gwh",0.0
120,"nuclear","colombia","2012","gwh",0.0
121,"nuclear","colombia","2011","gwh",0.0
122,"nuclear","colombia","2010","gwh",0.0
123,"nuclear","colombia","2009","gwh",0.0
124,"nuclear","colombia","2008","gwh",0.0
125,"nuclear","colombia","2007","gwh",0.0
126,"nuclear","colombia","2006","gwh",0.0
127,"nuclear","colombia","2005","gwh",0.0
128,"nuclear","colombia","2004","gwh",0.0
129,"nuclear","colombia","2003","gwh",0.0
130,"nuclear","colombia","2002","gwh",0.0
131,"nuclear","colombia","2001","gwh",0.0
132,"nuclear","colombia","2000","gwh",0.0
133,"térmica no renovable","colombia","2021","gwh",122569408.0
134,"térmica no renovable","colombia","2020","gwh",1855950208.0
135,"térmica no renovable","colombia","2019","gwh",1466682240.0
136,"térmica no renovable","colombia","2018","gwh",1077617408.0
137,"térmica no renovable","colombia","2017","gwh",8656314368.0
138,"térmica no renovable","colombia","2016","gwh",1846517504.0
139,"térmica no renovable","colombia","2015","gwh",2128434176.0
140,"térmica no renovable","colombia","2014","gwh",1907395456.0
141,"térmica no renovable","colombia","2013","gwh",1742718464.0
142,"térmica no renovable","colombia","2012","gwh",1190964864.0
143,"térmica no renovable","colombia","2011","gwh",9740621824.0
144,"térmica no renovable","colombia","2010","gwh",1598661248.0
145,"térmica no renovable","colombia","2009","gwh",1490612480.0
146,"térmica no renovable","colombia","2008","gwh",8131842048.0
147,"térmica no renovable","colombia","2007","gwh",9264796672.0
148,"térmica no renovable","colombia","2006","gwh",9631412224.0
149,"térmica no renovable","colombia","2005","gwh",9292096512.0
150,"térmica no renovable","colombia","2004","gwh",8546767360.0
151,"térmica no renovable","colombia","2003","gwh",9432278016.0
152,"térmica no renovable","colombia","2002","gwh",9962020864.0
153,"térmica no renovable","colombia","2001","gwh",1050971584.0
154,"térmica no renovable","colombia","2000","gwh",1009902336.0
155,"hidro","colombia","2021","gwh",6049598464.0
156,"hidro","colombia","2020","gwh",4983735296.0
157,"hidro","colombia","2019","gwh",5414455296.0
158,"hidro","colombia","2018","gwh",5664701440.0
159,"hidro","colombia","2017","gwh",573418944.0
160,"hidro","colombia","2016","gwh",4678792704.0
161,"hidro","colombia","2015","gwh",4468190208.0
162,"hidro","colombia","2014","gwh",447419648.0
163,"hidro","colombia","2013","gwh",4436278784.0
164,"hidro","colombia","2012","gwh",4758171136.0
165,"hidro","colombia","2011","gwh",4842747904.0
166,"hidro","colombia","2010","gwh",4055746304.0
167,"hidro","colombia","2009","gwh",4083736576.0
168,"hidro","colombia","2008","gwh",4616088064.0
169,"hidro","colombia","2007","gwh",4424198144.0
170,"hidro","colombia","2006","gwh",4255789056.0
171,"hidro","colombia","2005","gwh",4097895424.0
172,"hidro","colombia","2004","gwh",3984867072.0
173,"hidro","colombia","2003","gwh",3719664896.0
174,"hidro","colombia","2002","gwh",3467024384.0
175,"hidro","colombia","2001","gwh",3243892480.0
176,"hidro","colombia","2000","gwh",3107428352.0
