IdZonaNC;NombreDepartamento;NombreMunicipio;Anio;Mes;EnergiaActiva;EnergiaReactiva;DiaDemandaMaxima;PotenciaMaxima;FechaDemandaMaxima;PromedioDiarioHoras
2637;chocó;cisneros;2023;diciembre;0.0;0.0;12;0.0;12/01/2023;0.0
2638;chocó;entrerrios;2023;diciembre;6284.0;1378.0;26;1821.0;26/12/2023;20.53
2639;chocó;cocorná;2023;diciembre;685.0;319.0;12;595.0;12/09/2023;5.19
2640;chocó;concepción;2023;diciembre;6427.0;2574.0;30;4661.0;30/12/2023;5.54
2641;chocó;concordia;2023;diciembre;1293.0;501.0;25;459.0;25/12/2023;11.37
2642;chocó;copacabana;2023;diciembre;13889.0;5314.0;24;8314.0;24/12/2023;6.49
2643;chocó;copacabana;2023;diciembre;16144.0;3851.0;31;8501.0;31/12/2023;8.11
2644;chocó;copacabana;2023;diciembre;471749.0;154056.0;13;96782.0;13/12/2023;21.39
2664;chocó;caldas;2022;diciembre;654345.0;21532.0;12;12151.0;12/07/2022;23.59
2665;chocó;caldas;2022;diciembre;26493.0;9465.0;30;12283.0;30/12/2022;9.26
2666;chocó;caucasia;2022;diciembre;2676.0;855.0;28;1699.0;28/12/2022;6.05
2667;chocó;caucasia;2022;diciembre;6904.0;4345.0;14;16988.0;14/12/2022;23.45
2668;chocó;gómez plata;2022;diciembre;177894.0;727.0;31;32656.0;31/12/2022;23.59
2669;chocó;cocorná;2022;diciembre;6816.0;1776.0;31;1166.0;31/12/2022;23.07
2670;chocó;cocorná;2022;diciembre;1072.0;645.0;24;648.0;24/12/2022;6.48
2671;chocó;concepción;2022;diciembre;8427.0;324.0;12;4294.0;12/03/2022;8.16
2672;chocó;copacabana;2022;diciembre;22438.0;879.0;24;838.0;24/12/2022;11.08
2673;chocó;copacabana;2022;diciembre;17321.0;4162.0;12;9698.0;12/09/2022;8.13
2674;chocó;copacabana;2022;diciembre;412442.0;143382.0;31;86803.0;31/12/2022;22.19
2705;chocó;caldas;2021;diciembre;522324.0;195138.0;31;125752.0;31/12/2021;19.7
2706;chocó;caldas;2021;diciembre;22309.0;6892.0;29;11803.0;29/12/2021;8.27
2708;chocó;caucasia;2021;diciembre;2995.0;1063.0;24;32.0;24/12/2021;4.58
2709;chocó;caucasia;2021;diciembre;64753.0;37259.0;12;165.0;12/09/2021;23.26
2710;chocó;caucasia;2021;diciembre;1126.0;208.0;12;1094.0;12/06/2021;5.02
2711;chocó;gómez plata;2021;diciembre;170787.0;72659.0;12;30832.0;12/09/2021;23.52
2712;chocó;cocorná;2021;diciembre;8167.0;1892.0;20;1135.0;20/12/2021;23.29
2713;chocó;cocorná;2021;diciembre;259262.0;8934.0;19;51181.0;19/12/2021;23.54
2714;chocó;cocorná;2021;diciembre;809.0;470.0;23;47.0;23/12/2021;7.17
2715;chocó;concepción;2021;diciembre;9949.0;3488.0;30;5602.0;30/12/2021;8.26
2716;chocó;copacabana;2021;diciembre;20287.0;8071.0;31;843.0;31/12/2021;9.54
2717;chocó;copacabana;2021;diciembre;18197.0;4683.0;19;1005.0;19/12/2021;8.15
2718;chocó;copacabana;2021;diciembre;424583.0;147401.0;16;85589.0;16/12/2021;22.17
2719;chocó;caldas;2020;diciembre;589832.0;244762.0;23;11037.0;23/12/2020;23.49
2720;chocó;caldas;2020;diciembre;29679.0;114181.0;31;76067.0;31/12/2020;20.17
2721;chocó;caldas;2020;diciembre;22437.0;7054.0;31;1225.0;31/12/2020;8.38
2722;chocó;caucasia;2020;diciembre;70724.0;35325.0;12;16975.0;12/10/2020;17.7
2723;chocó;gómez plata;2020;diciembre;158215.0;78341.0;17;2864.0;17/12/2020;23.57
2724;chocó;cocorná;2020;diciembre;9074.0;3826.0;16;496.0;16/12/2020;7.45
2725;chocó;cocorná;2020;diciembre;243554.0;78214.0;23;47379.0;23/12/2020;24.0
2726;chocó;cocorná;2020;diciembre;1196.0;1079.0;24;617.0;24/12/2020;10.1
